"","Pathway","Gene","Level"
"1943","mtDNA maintenance","Tfam","Pathway_Level2"
"1944","mtRNA metabolism","Mrm3","Pathway_Level2"
"1945","mtRNA granules","Tfb1m","Pathway_Level3"
"1946","Translation","Hars2","Pathway_Level2"
"1947","Mitochondrial ribosome","Mrpl32","Pathway_Level3"
"1948","Protein import, sorting and homeostasis","Hspe1","Pathway_Level1"
"1949","Protein import and sorting","Timm17b","Pathway_Level2"
"1950","Protein homeostasis","Metap1d","Pathway_Level2"
"1951","Proteases","Spg7","Pathway_Level3"
"1952","OXPHOS","Cmc1","Pathway_Level1"
"1953","OXPHOS subunits","Cox6b2","Pathway_Level2"
"1954","OXPHOS assembly factors","Dmac1","Pathway_Level2"
"1955","Complex I","Ndufa9","Pathway_Level2"
"1956","CI subunits","Ndufb5","Pathway_Level3"
"1957","Complex IV","Cox6b2","Pathway_Level2"
"1958","CIV assembly factors","Surf1","Pathway_Level3"
"1959","Complex V","Tmem70","Pathway_Level2"
"1960","Metabolism","Acod1","Pathway_Level1"
"1961","Carbohydrate metabolism","Idh3a","Pathway_Level2"
"1962","Lipid metabolism","Acsm1","Pathway_Level2"
"1963","Fatty acid oxidation","Cpt1c","Pathway_Level3"
"1964","Amino acid metabolism","Car5a","Pathway_Level2"
"1965","Nucleotide metabolism","Slc25a24","Pathway_Level2"
"1966","Metals and cofactors","Cox10","Pathway_Level2"
"1967","Fe-S-containing proteins","Nfu1","Pathway_Level3"
"1968","Vitamin metabolism","Mmadhc","Pathway_Level2"
"1969","Detoxification","Hagh","Pathway_Level2"
"1970","ROS and glutathione metabolism","Txnrd1","Pathway_Level3"
"1971","Small molecule transport","Sfxn2","Pathway_Level1"
"1972","SLC25A family","Slc25a31","Pathway_Level2"
"1973","Signaling","Pde2a","Pathway_Level1"
"1974","Mitochondrial dynamics and surveillance","Bid","Pathway_Level1"
"1975","Apoptosis","Endog","Pathway_Level2"
"1976","Mitochondrial central dogma","Fastkd1","Pathway_Level1"
"1977","mtDNA maintenance","Tfb2m","Pathway_Level2"
"1978","mtRNA metabolism","Mrpl12","Pathway_Level2"
"1979","mtRNA granules","Trmt10c","Pathway_Level3"
"1980","Translation","Hemk1","Pathway_Level2"
"1981","Mitochondrial ribosome","Mrpl33","Pathway_Level3"
"1982","Protein import, sorting and homeostasis","Htra2","Pathway_Level1"
"1983","Protein import and sorting","Timm21","Pathway_Level2"
"1984","Protein homeostasis","Mipep","Pathway_Level2"
"1985","Proteases","Usp30","Pathway_Level3"
"1986","OXPHOS","Cmc2","Pathway_Level1"
"1987","OXPHOS subunits","Cox6c","Pathway_Level2"
"1988","OXPHOS assembly factors","Dmac2","Pathway_Level2"
"1989","Complex I","Ndufab1","Pathway_Level2"
"1990","CI subunits","Ndufb6","Pathway_Level3"
"1991","Complex IV","Cox6c","Pathway_Level2"
"1992","CIV assembly factors","Taco1","Pathway_Level3"
"1993","Metabolism","Acot10","Pathway_Level1"
"1994","Carbohydrate metabolism","Idh3b","Pathway_Level2"
"1995","Lipid metabolism","Acsm2","Pathway_Level2"
"1996","Fatty acid oxidation","Cpt2","Pathway_Level3"
"1997","Amino acid metabolism","Car5b","Pathway_Level2"
"1998","Nucleotide metabolism","Slc25a25","Pathway_Level2"
"1999","Metals and cofactors","Cox11","Pathway_Level2"
"2000","Fe-S-containing proteins","Nthl1","Pathway_Level3"
"2001","Vitamin metabolism","Mmut","Pathway_Level2"
"2002","Detoxification","Maoa","Pathway_Level2"
"2003","ROS and glutathione metabolism","Txnrd2","Pathway_Level3"
"2004","Small molecule transport","Sfxn3","Pathway_Level1"
"2005","SLC25A family","Slc25a32","Pathway_Level2"
"2006","Signaling","Pink1","Pathway_Level1"
"2007","Mitochondrial dynamics and surveillance","Bik","Pathway_Level1"
"2008","Apoptosis","Ghitm","Pathway_Level2"
"2009","Mitochondrial central dogma","Fastkd2","Pathway_Level1"
"2010","mtDNA maintenance","Top1mt","Pathway_Level2"
"2011","mtRNA metabolism","Mrpl47","Pathway_Level2"
"2012","mtRNA granules","Trub2","Pathway_Level3"
"2013","Translation","Iars2","Pathway_Level2"
"2014","Mitochondrial ribosome","Mrpl34","Pathway_Level3"
"2015","Protein import, sorting and homeostasis","Ide","Pathway_Level1"
"2016","Protein import and sorting","Timm22","Pathway_Level2"
"2017","Protein homeostasis","Mul1","Pathway_Level2"
"2018","Proteases","Xpnpep3","Pathway_Level3"
"2019","OXPHOS","Coa3","Pathway_Level1"
"2020","OXPHOS subunits","Cox7a1","Pathway_Level2"
"2021","OXPHOS assembly factors","Ecsit","Pathway_Level2"
"2022","Complex I","Ndufaf1","Pathway_Level2"
"2023","CI subunits","Ndufb7","Pathway_Level3"
"2024","Complex IV","Cox7a1","Pathway_Level2"
"2025","CIV assembly factors","Timm21","Pathway_Level3"
"2026","Metabolism","Acot11","Pathway_Level1"
"2027","Carbohydrate metabolism","Idh3g","Pathway_Level2"
"2028","Lipid metabolism","Acsm3","Pathway_Level2"
"2029","Fatty acid oxidation","Crat","Pathway_Level3"
"2030","Amino acid metabolism","Chdh","Pathway_Level2"
"2031","Nucleotide metabolism","Slc25a31","Pathway_Level2"
"2032","Metals and cofactors","Cox15","Pathway_Level2"
"2033","Fe-S-containing proteins","Nubpl","Pathway_Level3"
"2034","Vitamin metabolism","Mtfmt","Pathway_Level2"
"2035","Detoxification","Maob","Pathway_Level2"
"2036","Small molecule transport","Sfxn4","Pathway_Level1"
"2037","SLC25A family","Slc25a33","Pathway_Level2"
"2038","Signaling","Ppif","Pathway_Level1"
"2039","Mitochondrial dynamics and surveillance","Bnip3","Pathway_Level1"
"2040","Apoptosis","Htra2","Pathway_Level2"
"2041","Mitochondrial central dogma","Fastkd3","Pathway_Level1"
"2042","mtDNA maintenance","Top3a","Pathway_Level2"
"2043","mtRNA metabolism","Mrps7","Pathway_Level2"
"2044","Translation","Kars","Pathway_Level2"
"2045","Mitochondrial ribosome","Mrpl35","Pathway_Level3"
"2046","Protein import, sorting and homeostasis","Immp1l","Pathway_Level1"
"2047","Protein import and sorting","Timm23","Pathway_Level2"
"2048","Protein homeostasis","Nln","Pathway_Level2"
"2049","Proteases","Yme1l1","Pathway_Level3"
"2050","OXPHOS","Coa4","Pathway_Level1"
"2051","OXPHOS subunits","Cox7a2","Pathway_Level2"
"2052","OXPHOS assembly factors","Fmc1","Pathway_Level2"
"2053","Complex I","Ndufaf2","Pathway_Level2"
"2054","CI subunits","Ndufb8","Pathway_Level3"
"2055","Complex IV","Cox7a2","Pathway_Level2"
"2056","CIV assembly factors","Tmem177","Pathway_Level3"
"2057","Metabolism","Acot13","Pathway_Level1"
"2058","Carbohydrate metabolism","L2hgdh","Pathway_Level2"
"2059","Lipid metabolism","Acsm4","Pathway_Level2"
"2060","Fatty acid oxidation","Crot","Pathway_Level3"
"2061","Amino acid metabolism","Comt","Pathway_Level2"
"2062","Nucleotide metabolism","Slc25a33","Pathway_Level2"
"2063","Metals and cofactors","Cox17","Pathway_Level2"
"2064","Fe-S-containing proteins","Rsad1","Pathway_Level3"
"2065","Vitamin metabolism","Mthfd1l","Pathway_Level2"
"2066","Detoxification","Mgst1","Pathway_Level2"
"2067","Small molecule transport","Sfxn5","Pathway_Level1"
"2068","SLC25A family","Slc25a34","Pathway_Level2"
"2069","Signaling","Pptc7","Pathway_Level1"
"2070","Mitochondrial dynamics and surveillance","Bnip3l","Pathway_Level1"
"2071","Apoptosis","Ifi27","Pathway_Level2"
"2072","Mitochondrial central dogma","Fastkd5","Pathway_Level1"
"2073","mtDNA maintenance","Twnk","Pathway_Level2"
"2074","mtRNA metabolism","Mrps9","Pathway_Level2"
"2075","Translation","Lars2","Pathway_Level2"
"2076","Mitochondrial ribosome","Mrpl36","Pathway_Level3"
"2077","Protein import, sorting and homeostasis","Immp2l","Pathway_Level1"
"2078","Protein import and sorting","Timm29","Pathway_Level2"
"2079","Protein homeostasis","Nrd1","Pathway_Level2"
"2080","OXPHOS","Coa5","Pathway_Level1"
"2081","OXPHOS subunits","Cox7a2l","Pathway_Level2"
"2082","OXPHOS assembly factors","Foxred1","Pathway_Level2"
"2083","Complex I","Ndufaf3","Pathway_Level2"
"2084","CI subunits","Ndufb9","Pathway_Level3"
"2085","Complex IV","Cox7a2l","Pathway_Level2"
"2086","Metabolism","Acot2","Pathway_Level1"
"2087","Carbohydrate metabolism","Ldhal6b","Pathway_Level2"
"2088","Lipid metabolism","Acsm5","Pathway_Level2"
"2089","Fatty acid oxidation","Decr1","Pathway_Level3"
"2090","Amino acid metabolism","Cps1","Pathway_Level2"
"2091","Nucleotide metabolism","Slc25a36","Pathway_Level2"
"2092","Metals and cofactors","Cox19","Pathway_Level2"
"2093","Fe-S-containing proteins","Sdhb","Pathway_Level3"
"2094","Vitamin metabolism","Mthfd2","Pathway_Level2"
"2095","Detoxification","Mpst","Pathway_Level2"
"2096","Small molecule transport","Slc25a1","Pathway_Level1"
"2097","SLC25A family","Slc25a35","Pathway_Level2"
"2098","Signaling","Prkaca","Pathway_Level1"
"2099","Mitochondrial dynamics and surveillance","Bok","Pathway_Level1"
"2100","Apoptosis","Mcl1","Pathway_Level2"
"2101","Mitochondrial central dogma","Gadd45gip1","Pathway_Level1"
"2102","mtDNA maintenance","Ung","Pathway_Level2"
"2103","mtRNA metabolism","Mterf1a","Pathway_Level2"
"2104","Translation","Lrpprc","Pathway_Level2"
"2105","Mitochondrial ribosome","Mrpl37","Pathway_Level3"
"2106","Protein import, sorting and homeostasis","Lactb","Pathway_Level1"
"2107","Protein import and sorting","Timm44","Pathway_Level2"
"2108","Protein homeostasis","Oma1","Pathway_Level2"
"2109","OXPHOS","Coa6","Pathway_Level1"
"2110","OXPHOS subunits","Cox7b","Pathway_Level2"
"2111","OXPHOS assembly factors","Higd1a","Pathway_Level2"
"2112","Complex I","Ndufaf4","Pathway_Level2"
"2113","CI subunits","Ndufc1","Pathway_Level3"
"2114","Complex IV","Cox7b","Pathway_Level2"
"2115","Metabolism","Acot7","Pathway_Level1"
"2116","Carbohydrate metabolism","Ldhd","Pathway_Level2"
"2117","Lipid metabolism","Acss1","Pathway_Level2"
"2118","Fatty acid oxidation","Echs1","Pathway_Level3"
"2119","Amino acid metabolism","Dbt","Pathway_Level2"
"2120","Nucleotide metabolism","Slc25a4","Pathway_Level2"
"2121","Metals and cofactors","Cpox","Pathway_Level2"
"2122","Fe-S-containing proteins","Uqcrfs1","Pathway_Level3"
"2123","Vitamin metabolism","Mthfd2l","Pathway_Level2"
"2124","Detoxification","Msra","Pathway_Level2"
"2125","Small molecule transport","Slc25a10","Pathway_Level1"
"2126","SLC25A family","Slc25a36","Pathway_Level2"
"2127","Signaling","Rhot1","Pathway_Level1"
"2128","Mitochondrial dynamics and surveillance","Casp3","Pathway_Level1"
"2129","Apoptosis","Pmaip1","Pathway_Level2"
"2130","Mitochondrial central dogma","Gars","Pathway_Level1"
"2131","mtRNA metabolism","Mterf1b","Pathway_Level2"
"2132","Translation","Malsu1","Pathway_Level2"
"2133","Mitochondrial ribosome","Mrpl38","Pathway_Level3"
"2134","Protein import, sorting and homeostasis","Lap3","Pathway_Level1"
"2135","Protein import and sorting","Timm50","Pathway_Level2"
"2136","Protein homeostasis","Park7","Pathway_Level2"
"2137","OXPHOS","Coa7","Pathway_Level1"
"2138","OXPHOS subunits","Cox7c","Pathway_Level2"
"2139","OXPHOS assembly factors","Higd2a","Pathway_Level2"
"2140","Complex I","Ndufaf5","Pathway_Level2"
"2141","CI subunits","Ndufc2","Pathway_Level3"
"2142","Complex IV","Cox7c","Pathway_Level2"
"2143","Metabolism","Acot9","Pathway_Level1"
"2144","Carbohydrate metabolism","Mcee","Pathway_Level2"
"2145","Lipid metabolism","Acss3","Pathway_Level2"
"2146","Fatty acid oxidation","Eci1","Pathway_Level3"
"2147","Amino acid metabolism","Dglucy","Pathway_Level2"
"2148","Nucleotide metabolism","Slc25a41","Pathway_Level2"
"2149","Metals and cofactors","Cpt1a","Pathway_Level2"
"2150","Vitamin metabolism","Mthfs","Pathway_Level2"
"2151","Detoxification","Msrb2","Pathway_Level2"
"2152","Small molecule transport","Slc25a11","Pathway_Level1"
"2153","SLC25A family","Slc25a37","Pathway_Level2"
"2154","Signaling","Rhot2","Pathway_Level1"
"2155","Mitochondrial dynamics and surveillance","Casp8","Pathway_Level1"
"2156","Apoptosis","Septin4","Pathway_Level2"
"2157","Mitochondrial central dogma","Gatb","Pathway_Level1"
"2158","mtRNA metabolism","Mto1","Pathway_Level2"
"2159","Translation","Mars2","Pathway_Level2"
"2160","Mitochondrial ribosome","Mrpl39","Pathway_Level3"
"2161","Protein import, sorting and homeostasis","Lonp1","Pathway_Level1"
"2162","Protein import and sorting","Timm8a1","Pathway_Level2"
"2163","Protein homeostasis","Parl","Pathway_Level2"
"2164","OXPHOS","Coa8","Pathway_Level1"
"2165","OXPHOS subunits","Cox8a","Pathway_Level2"
"2166","OXPHOS assembly factors","Lyrm2","Pathway_Level2"
"2167","Complex I","Ndufaf6","Pathway_Level2"
"2168","CI subunits","Ndufs1","Pathway_Level3"
"2169","Complex IV","Cox8a","Pathway_Level2"
"2170","Metabolism","Acp6","Pathway_Level1"
"2171","Carbohydrate metabolism","Mdh2","Pathway_Level2"
"2172","Lipid metabolism","Agk","Pathway_Level2"
"2173","Fatty acid oxidation","Eci2","Pathway_Level3"
"2174","Amino acid metabolism","Dhtkd1","Pathway_Level2"
"2175","Nucleotide metabolism","Slc25a5","Pathway_Level2"
"2176","Metals and cofactors","Cpt1b","Pathway_Level2"
"2177","Vitamin metabolism","Mthfsl","Pathway_Level2"
"2178","Detoxification","Msrb3","Pathway_Level2"
"2179","Small molecule transport","Slc25a12","Pathway_Level1"
"2180","SLC25A family","Slc25a38","Pathway_Level2"
"2181","Signaling","Sirt3","Pathway_Level1"
"2182","Mitochondrial dynamics and surveillance","Casp9","Pathway_Level1"
"2183","Apoptosis","Sphk2","Pathway_Level2"
"2184","Mitochondrial central dogma","Gatc","Pathway_Level1"
"2185","mtRNA metabolism","Mtpap","Pathway_Level2"
"2186","Translation","Metap1d","Pathway_Level2"
"2187","Mitochondrial ribosome","Mrpl4","Pathway_Level3"
"2188","Protein import, sorting and homeostasis","Maip1","Pathway_Level1"
"2189","Protein import and sorting","Timm8a2","Pathway_Level2"
"2190","Protein homeostasis","Pdf","Pathway_Level2"
"2191","OXPHOS","Cox10","Pathway_Level1"
"2192","OXPHOS subunits","Cox8b","Pathway_Level2"
"2193","OXPHOS assembly factors","Lyrm7","Pathway_Level2"
"2194","Complex I","Ndufaf7","Pathway_Level2"
"2195","CI subunits","Ndufs2","Pathway_Level3"
"2196","Complex IV","Cox8b","Pathway_Level2"
"2197","Metabolism","Acsf2","Pathway_Level1"
"2198","Carbohydrate metabolism","Me2","Pathway_Level2"
"2199","Lipid metabolism","Agpat4","Pathway_Level2"
"2200","Fatty acid oxidation","Etfa","Pathway_Level3"
"2201","Amino acid metabolism","Dld","Pathway_Level2"
"2202","Nucleotide metabolism","Sucla2","Pathway_Level2"
"2203","Metals and cofactors","Cpt1c","Pathway_Level2"
"2204","Vitamin metabolism","Mto1","Pathway_Level2"
"2205","Detoxification","Mtarc1","Pathway_Level2"
"2206","Small molecule transport","Slc25a13","Pathway_Level1"
"2207","SLC25A family","Slc25a39","Pathway_Level2"
"2208","Signaling","Slc25a12","Pathway_Level1"
"2209","Mitochondrial dynamics and surveillance","Chchd2","Pathway_Level1"
"2210","Apoptosis","Styxl1","Pathway_Level2"
"2211","Mitochondrial central dogma","Gfm1","Pathway_Level1"
"2212","mtRNA metabolism","Mtres1","Pathway_Level2"
"2213","Translation","Mettl17","Pathway_Level2"
"2214","Mitochondrial ribosome","Mrpl40","Pathway_Level3"
"2215","Protein import, sorting and homeostasis","Metap1d","Pathway_Level1"
"2216","Protein import and sorting","Timm8b","Pathway_Level2"
"2217","Protein homeostasis","Phb","Pathway_Level2"
"2218","OXPHOS","Cox11","Pathway_Level1"
"2219","OXPHOS subunits","Cox8c","Pathway_Level2"
"2220","OXPHOS assembly factors","Ndufaf1","Pathway_Level2"
"2221","Complex I","Ndufaf8","Pathway_Level2"
"2222","CI subunits","Ndufs3","Pathway_Level3"
"2223","Complex IV","Cox8c","Pathway_Level2"
"2224","Metabolism","Acsf3","Pathway_Level1"
"2225","Carbohydrate metabolism","Me3","Pathway_Level2"
"2226","Lipid metabolism","Agpat5","Pathway_Level2"
"2227","Fatty acid oxidation","Etfb","Pathway_Level3"
"2228","Amino acid metabolism","Dlst","Pathway_Level2"
"2229","Nucleotide metabolism","Suclg1","Pathway_Level2"
"2230","Metals and cofactors","Cpt2","Pathway_Level2"
"2231","Vitamin metabolism","Pcca","Pathway_Level2"
"2232","Detoxification","Mtarc2","Pathway_Level2"
"2233","Small molecule transport","Slc25a14","Pathway_Level1"
"2234","SLC25A family","Slc25a4","Pathway_Level2"
"2235","Signaling","Slc25a13","Pathway_Level1"
"2236","Mitochondrial dynamics and surveillance","Chchd3","Pathway_Level1"
"2237","Mitochondrial central dogma","Gfm2","Pathway_Level1"
"2238","mtRNA metabolism","Myg1","Pathway_Level2"
"2239","Translation","Mief1","Pathway_Level2"
"2240","Mitochondrial ribosome","Mrpl41","Pathway_Level3"
"2241","Protein import, sorting and homeostasis","Mipep","Pathway_Level1"
"2242","Protein import and sorting","Timm9","Pathway_Level2"
"2243","Protein homeostasis","Phb2","Pathway_Level2"
"2244","OXPHOS","Cox14","Pathway_Level1"
"2245","OXPHOS subunits","Cyc1","Pathway_Level2"
"2246","OXPHOS assembly factors","Ndufaf2","Pathway_Level2"
"2247","Complex I","Ndufb10","Pathway_Level2"
"2248","CI subunits","Ndufs4","Pathway_Level3"
"2249","Complex IV","Higd1a","Pathway_Level2"
"2250","Metabolism","Acsl1","Pathway_Level1"
"2251","Carbohydrate metabolism","Mmut","Pathway_Level2"
"2252","Lipid metabolism","Akr1b7","Pathway_Level2"
"2253","Fatty acid oxidation","Etfdh","Pathway_Level3"
"2254","Amino acid metabolism","Dmgdh","Pathway_Level2"
"2255","Nucleotide metabolism","Tk2","Pathway_Level2"
"2256","Metals and cofactors","Cyb5b","Pathway_Level2"
"2257","Vitamin metabolism","Pcx","Pathway_Level2"
"2258","Detoxification","Nit1","Pathway_Level2"
"2259","Small molecule transport","Slc25a15","Pathway_Level1"
"2260","SLC25A family","Slc25a40","Pathway_Level2"
"2261","Signaling","Slc25a23","Pathway_Level1"
"2262","Mitochondrial dynamics and surveillance","Chchd6","Pathway_Level1"
"2263","Mitochondrial central dogma","Grsf1","Pathway_Level1"
"2264","mtRNA metabolism","Ngrn","Pathway_Level2"
"2265","Translation","Mpv17l2","Pathway_Level2"
"2266","Mitochondrial ribosome","Mrpl42","Pathway_Level3"
"2267","Protein import, sorting and homeostasis","Mtx1","Pathway_Level1"
"2268","Protein import and sorting","Tomm20","Pathway_Level2"
"2269","Protein homeostasis","Pitrm1","Pathway_Level2"
"2270","OXPHOS","Cox15","Pathway_Level1"
"2271","OXPHOS subunits","Cycs","Pathway_Level2"
"2272","OXPHOS assembly factors","Ndufaf3","Pathway_Level2"
"2273","Complex I","Ndufb11","Pathway_Level2"
"2274","CI subunits","Ndufs5","Pathway_Level3"
"2275","Complex IV","mt-Co1","Pathway_Level2"
"2276","Metabolism","Acsl6","Pathway_Level1"
"2277","Carbohydrate metabolism","Mpc1","Pathway_Level2"
"2278","Lipid metabolism","Amacr","Pathway_Level2"
"2279","Fatty acid oxidation","Hadh","Pathway_Level3"
"2280","Amino acid metabolism","Echs1","Pathway_Level2"
"2281","Metals and cofactors","Cyc1","Pathway_Level2"
"2282","Vitamin metabolism","Plpbp","Pathway_Level2"
"2283","Detoxification","Nit2","Pathway_Level2"
"2284","Small molecule transport","Slc25a16","Pathway_Level1"
"2285","SLC25A family","Slc25a41","Pathway_Level2"
"2286","Signaling","Slc25a24","Pathway_Level1"
"2287","Mitochondrial dynamics and surveillance","Cycs","Pathway_Level1"
"2288","Mitochondrial central dogma","Gtpbp10","Pathway_Level1"
"2289","mtRNA metabolism","Noa1","Pathway_Level2"
"2290","Translation","Mrm2","Pathway_Level2"
"2291","Mitochondrial ribosome","Mrpl43","Pathway_Level3"
"2292","Protein import, sorting and homeostasis","Mtx2","Pathway_Level1"
"2293","Protein import and sorting","Tomm20l","Pathway_Level2"
"2294","Protein homeostasis","Pmpca","Pathway_Level2"
"2295","OXPHOS","Cox16","Pathway_Level1"
"2296","OXPHOS subunits","Cyct","Pathway_Level2"
"2297","OXPHOS assembly factors","Ndufaf4","Pathway_Level2"
"2298","Complex I","Ndufb2","Pathway_Level2"
"2299","CI subunits","Ndufs6","Pathway_Level3"
"2300","Complex IV","mt-Co2","Pathway_Level2"
"2301","Metabolism","Acsm1","Pathway_Level1"
"2302","Carbohydrate metabolism","Mpc2","Pathway_Level2"
"2303","Lipid metabolism","Cbr4","Pathway_Level2"
"2304","Fatty acid oxidation","Hadha","Pathway_Level3"
"2305","Amino acid metabolism","Etfa","Pathway_Level2"
"2306","Metals and cofactors","Cycs","Pathway_Level2"
"2307","Vitamin metabolism","Pnpo","Pathway_Level2"
"2308","Detoxification","Oxr1","Pathway_Level2"
"2309","Small molecule transport","Slc25a18","Pathway_Level1"
"2310","SLC25A family","Slc25a42","Pathway_Level2"
"2311","Signaling","Slc25a25","Pathway_Level1"
"2312","Mitochondrial dynamics and surveillance","Diablo","Pathway_Level1"
"2313","Mitochondrial central dogma","Gtpbp3","Pathway_Level1"
"2314","mtRNA metabolism","Nsun2","Pathway_Level2"
"2315","Translation","Mrm3","Pathway_Level2"
"2316","Mitochondrial ribosome","Mrpl44","Pathway_Level3"
"2317","Protein import, sorting and homeostasis","Mul1","Pathway_Level1"
"2318","Protein import and sorting","Tomm22","Pathway_Level2"
"2319","Protein homeostasis","Pmpcb","Pathway_Level2"
"2320","OXPHOS","Cox17","Pathway_Level1"
"2321","OXPHOS subunits","Dmac2l","Pathway_Level2"
"2322","OXPHOS assembly factors","Ndufaf5","Pathway_Level2"
"2323","Complex I","Ndufb3","Pathway_Level2"
"2324","CI subunits","Ndufs7","Pathway_Level3"
"2325","Complex IV","mt-Co3","Pathway_Level2"
"2326","Metabolism","Acsm2","Pathway_Level1"
"2327","Carbohydrate metabolism","Mrps36","Pathway_Level2"
"2328","Lipid metabolism","Chpt1","Pathway_Level2"
"2329","Fatty acid oxidation","Hadhb","Pathway_Level3"
"2330","Amino acid metabolism","Etfb","Pathway_Level2"
"2331","Metals and cofactors","Cyp11a1","Pathway_Level2"
"2332","Vitamin metabolism","Qdpr","Pathway_Level2"
"2333","Detoxification","Prdx2","Pathway_Level2"
"2334","Small molecule transport","Slc25a19","Pathway_Level1"
"2335","SLC25A family","Slc25a43","Pathway_Level2"
"2336","Signaling","Slc25a3","Pathway_Level1"
"2337","Mitochondrial dynamics and surveillance","Dnajc11","Pathway_Level1"
"2338","Mitochondrial central dogma","Guf1","Pathway_Level1"
"2339","mtRNA metabolism","Nsun3","Pathway_Level2"
"2340","Translation","Mrpl1","Pathway_Level2"
"2341","Mitochondrial ribosome","Mrpl45","Pathway_Level3"
"2342","Protein import, sorting and homeostasis","Nln","Pathway_Level1"
"2343","Protein import and sorting","Tomm34","Pathway_Level2"
"2344","Protein homeostasis","Prss35","Pathway_Level2"
"2345","OXPHOS","Cox18","Pathway_Level1"
"2346","OXPHOS subunits","Hccs","Pathway_Level2"
"2347","OXPHOS assembly factors","Ndufaf6","Pathway_Level2"
"2348","Complex I","Ndufb4","Pathway_Level2"
"2349","CI subunits","Ndufs8","Pathway_Level3"
"2350","Complex IV","Ndufa4","Pathway_Level2"
"2351","Metabolism","Acsm3","Pathway_Level1"
"2352","Carbohydrate metabolism","Neu4","Pathway_Level2"
"2353","Lipid metabolism","Cpt1a","Pathway_Level2"
"2354","Fatty acid oxidation","Hsd17b10","Pathway_Level3"
"2355","Amino acid metabolism","Etfdh","Pathway_Level2"
"2356","Metals and cofactors","Cyp11b2","Pathway_Level2"
"2357","Vitamin metabolism","Rdh13","Pathway_Level2"
"2358","Detoxification","Prdx3","Pathway_Level2"
"2359","Small molecule transport","Slc25a2","Pathway_Level1"
"2360","SLC25A family","Slc25a44","Pathway_Level2"
"2361","Signaling","Slc25a31","Pathway_Level1"
"2362","Mitochondrial dynamics and surveillance","Dnm1l","Pathway_Level1"
"2363","Mitochondrial central dogma","Hars2","Pathway_Level1"
"2364","mtRNA metabolism","Nsun4","Pathway_Level2"
"2365","Translation","Mrpl10","Pathway_Level2"
"2366","Mitochondrial ribosome","Mrpl46","Pathway_Level3"
"2367","Protein import, sorting and homeostasis","Nrd1","Pathway_Level1"
"2368","Protein import and sorting","Tomm40","Pathway_Level2"
"2369","Protein homeostasis","Spg7","Pathway_Level2"
"2370","OXPHOS","Cox19","Pathway_Level1"
"2371","OXPHOS subunits","mt-Atp6","Pathway_Level2"
"2372","OXPHOS assembly factors","Ndufaf7","Pathway_Level2"
"2373","Complex I","Ndufb5","Pathway_Level2"
"2374","CI subunits","Ndufv1","Pathway_Level3"
"2375","Complex IV","Pet100","Pathway_Level2"
"2376","Metabolism","Acsm4","Pathway_Level1"
"2377","Carbohydrate metabolism","Ogdh","Pathway_Level2"
"2378","Lipid metabolism","Cpt1b","Pathway_Level2"
"2379","Fatty acid oxidation","Mcee","Pathway_Level3"
"2380","Amino acid metabolism","Gcat","Pathway_Level2"
"2381","Metals and cofactors","Cyp24a1","Pathway_Level2"
"2382","Vitamin metabolism","Rdh14","Pathway_Level2"
"2383","Detoxification","Prdx4","Pathway_Level2"
"2384","Small molecule transport","Slc25a20","Pathway_Level1"
"2385","SLC25A family","Slc25a45","Pathway_Level2"
"2386","Signaling","Slc25a4","Pathway_Level1"
"2387","Mitochondrial dynamics and surveillance","Endog","Pathway_Level1"
"2388","Mitochondrial central dogma","Hemk1","Pathway_Level1"
"2389","mtRNA metabolism","Osgepl1","Pathway_Level2"
"2390","Translation","Mrpl11","Pathway_Level2"
"2391","Mitochondrial ribosome","Mrpl47","Pathway_Level3"
"2392","Protein import, sorting and homeostasis","Oma1","Pathway_Level1"
"2393","Protein import and sorting","Tomm40l","Pathway_Level2"
"2394","Protein homeostasis","Stoml2","Pathway_Level2"
"2395","OXPHOS","Cox20","Pathway_Level1"
"2396","OXPHOS subunits","mt-Atp8","Pathway_Level2"
"2397","OXPHOS assembly factors","Ndufaf8","Pathway_Level2"
"2398","Complex I","Ndufb6","Pathway_Level2"
"2399","CI subunits","Ndufv2","Pathway_Level3"
"2400","Complex IV","Pet117","Pathway_Level2"
"2401","Metabolism","Acsm5","Pathway_Level1"
"2402","Carbohydrate metabolism","Ogdhl","Pathway_Level2"
"2403","Lipid metabolism","Cpt1c","Pathway_Level2"
"2404","Fatty acid oxidation","Mmut","Pathway_Level3"
"2405","Amino acid metabolism","Gcdh","Pathway_Level2"
"2406","Metals and cofactors","Cyp27a1","Pathway_Level2"
"2407","Vitamin metabolism","Rfk","Pathway_Level2"
"2408","Detoxification","Prdx5","Pathway_Level2"
"2409","Small molecule transport","Slc25a21","Pathway_Level1"
"2410","SLC25A family","Slc25a46","Pathway_Level2"
"2411","Signaling","Slc25a5","Pathway_Level1"
"2412","Mitochondrial dynamics and surveillance","Fis1","Pathway_Level1"
"2413","Mitochondrial central dogma","Hsd17b10","Pathway_Level1"
"2414","mtRNA metabolism","Pde12","Pathway_Level2"
"2415","Translation","Mrpl12","Pathway_Level2"
"2416","Mitochondrial ribosome","Mrpl48","Pathway_Level3"
"2417","Protein import, sorting and homeostasis","Oxa1l","Pathway_Level1"
"2418","Protein import and sorting","Tomm5","Pathway_Level2"
"2419","Protein homeostasis","Timm10","Pathway_Level2"
"2420","OXPHOS","Cox4i1","Pathway_Level1"
