"","Pathway","Gene","Level"
"1889","Complex I","NDUFA6","Pathway_Level2"
"1890","CI subunits","NDUFB2","Pathway_Level3"
"1891","Complex IV","COX6A1","Pathway_Level2"
"1892","CIV assembly factors","SCO1","Pathway_Level3"
"1893","Complex V","MT-ATP6","Pathway_Level2"
"1894","Metabolism","ACOD1","Pathway_Level1"
"1895","Carbohydrate metabolism","IDH2","Pathway_Level2"
"1896","Lipid metabolism","ACSM2A","Pathway_Level2"
"1897","Fatty acid oxidation","CPT1B","Pathway_Level3"
"1898","Amino acid metabolism","BCKDHB","Pathway_Level2"
"1899","Branched-chain amino acid metabolism","PPM1K","Pathway_Level3"
"1900","Nucleotide metabolism","NUDT9","Pathway_Level2"
"1901","Nucleotide synthesis and processing","TK2","Pathway_Level3"
"1902","Metals and cofactors","COQ8B","Pathway_Level2"
"1903","Fe-S-containing proteins","NDUFV2","Pathway_Level3"
"1904","Vitamin metabolism","MMAA","Pathway_Level2"
"1905","Detoxification","GSTK1","Pathway_Level2"
"1906","ROS and glutathione metabolism","SOD2","Pathway_Level3"
"1907","Small molecule transport","ROMO1","Pathway_Level1"
"1908","SLC25A family","SLC25A30","Pathway_Level2"
"1909","Signaling","NLRX1","Pathway_Level1"
"1910","Calcium homeostasis","VDAC3","Pathway_Level2"
"1911","Mitochondrial dynamics and surveillance","BCL2L11","Pathway_Level1"
"1912","Apoptosis","CYCS","Pathway_Level2"
"1913","Mitochondrial central dogma","EXOG","Pathway_Level1"
"1914","mtDNA maintenance","SSBP1","Pathway_Level2"
"1915","mtRNA metabolism","MRM2","Pathway_Level2"
"1916","mtRNA granules","SUPV3L1","Pathway_Level3"
"1917","Translation","GUF1","Pathway_Level2"
"1918","Mitochondrial ribosome","MRPL30","Pathway_Level3"
"1919","Protein import, sorting and homeostasis","HSPE1","Pathway_Level1"
"1920","Protein import and sorting","TIMM17A","Pathway_Level2"
"1921","Protein homeostasis","METAP1D","Pathway_Level2"
"1922","Proteases","SPG7","Pathway_Level3"
"1923","OXPHOS","CEP89","Pathway_Level1"
"1924","OXPHOS subunits","COX6B1","Pathway_Level2"
"1925","OXPHOS assembly factors","COX20","Pathway_Level2"
"1926","Complex I","NDUFA7","Pathway_Level2"
"1927","CI subunits","NDUFB3","Pathway_Level3"
"1928","Complex IV","COX6A2","Pathway_Level2"
"1929","CIV assembly factors","SCO2","Pathway_Level3"
"1930","Complex V","MT-ATP8","Pathway_Level2"
"1931","Metabolism","ACOT11","Pathway_Level1"
"1932","Carbohydrate metabolism","IDH3A","Pathway_Level2"
"1933","Lipid metabolism","ACSM2B","Pathway_Level2"
"1934","Fatty acid oxidation","CPT1C","Pathway_Level3"
"1935","Amino acid metabolism","BCKDK","Pathway_Level2"
"1936","Branched-chain amino acid metabolism","SLC25A44","Pathway_Level3"
"1937","Nucleotide metabolism","PAICS","Pathway_Level2"
"1938","Metals and cofactors","COQ9","Pathway_Level2"
"1939","Fe-S-containing proteins","NFS1","Pathway_Level3"
"1940","Vitamin metabolism","MMAB","Pathway_Level2"
"1941","Detoxification","GSTZ1","Pathway_Level2"
"1942","ROS and glutathione metabolism","TXN2","Pathway_Level3"
"1943","Small molecule transport","SFXN1","Pathway_Level1"
"1944","SLC25A family","SLC25A31","Pathway_Level2"
"1945","Signaling","OCIAD2","Pathway_Level1"
"1946","Mitochondrial dynamics and surveillance","BCL2L13","Pathway_Level1"
"1947","Apoptosis","DIABLO","Pathway_Level2"
"1948","Mitochondrial central dogma","FARS2","Pathway_Level1"
"1949","mtDNA maintenance","TFAM","Pathway_Level2"
"1950","mtRNA metabolism","MRM3","Pathway_Level2"
"1951","mtRNA granules","TFB1M","Pathway_Level3"
"1952","Translation","HARS2","Pathway_Level2"
"1953","Mitochondrial ribosome","MRPL32","Pathway_Level3"
"1954","Protein import, sorting and homeostasis","HTRA2","Pathway_Level1"
"1955","Protein import and sorting","TIMM17B","Pathway_Level2"
"1956","Protein homeostasis","MIPEP","Pathway_Level2"
"1957","Proteases","USP30","Pathway_Level3"
"1958","OXPHOS","CMC1","Pathway_Level1"
"1959","OXPHOS subunits","COX6B2","Pathway_Level2"
"1960","OXPHOS assembly factors","COX7A2L","Pathway_Level2"
"1961","Complex I","NDUFA8","Pathway_Level2"
"1962","CI subunits","NDUFB4","Pathway_Level3"
"1963","Complex IV","COX6B1","Pathway_Level2"
"1964","CIV assembly factors","SMIM20","Pathway_Level3"
"1965","Complex V","TMEM70","Pathway_Level2"
"1966","Metabolism","ACOT13","Pathway_Level1"
"1967","Carbohydrate metabolism","IDH3B","Pathway_Level2"
"1968","Lipid metabolism","ACSM3","Pathway_Level2"
"1969","Fatty acid oxidation","CPT2","Pathway_Level3"
"1970","Amino acid metabolism","CA5A","Pathway_Level2"
"1971","Nucleotide metabolism","PPA2","Pathway_Level2"
"1972","Metals and cofactors","COX10","Pathway_Level2"
"1973","Fe-S-containing proteins","NFU1","Pathway_Level3"
"1974","Vitamin metabolism","MMADHC","Pathway_Level2"
"1975","Detoxification","HAGH","Pathway_Level2"
"1976","ROS and glutathione metabolism","TXNRD1","Pathway_Level3"
"1977","Small molecule transport","SFXN2","Pathway_Level1"
"1978","SLC25A family","SLC25A32","Pathway_Level2"
"1979","Signaling","PDE2A","Pathway_Level1"
"1980","Mitochondrial dynamics and surveillance","BCL2L2","Pathway_Level1"
"1981","Apoptosis","ENDOG","Pathway_Level2"
"1982","Mitochondrial central dogma","FASTK","Pathway_Level1"
"1983","mtDNA maintenance","TFB2M","Pathway_Level2"
"1984","mtRNA metabolism","MRPL12","Pathway_Level2"
"1985","mtRNA granules","TRMT10C","Pathway_Level3"
"1986","Translation","HEMK1","Pathway_Level2"
"1987","Mitochondrial ribosome","MRPL33","Pathway_Level3"
"1988","Protein import, sorting and homeostasis","IDE","Pathway_Level1"
"1989","Protein import and sorting","TIMM21","Pathway_Level2"
"1990","Protein homeostasis","MUL1","Pathway_Level2"
"1991","Proteases","XPNPEP3","Pathway_Level3"
"1992","OXPHOS","CMC2","Pathway_Level1"
"1993","OXPHOS subunits","COX6C","Pathway_Level2"
"1994","OXPHOS assembly factors","DMAC1","Pathway_Level2"
"1995","Complex I","NDUFA9","Pathway_Level2"
"1996","CI subunits","NDUFB5","Pathway_Level3"
"1997","Complex IV","COX6B2","Pathway_Level2"
"1998","CIV assembly factors","SURF1","Pathway_Level3"
"1999","Metabolism","ACOT2","Pathway_Level1"
"2000","Carbohydrate metabolism","IDH3G","Pathway_Level2"
"2001","Lipid metabolism","ACSM4","Pathway_Level2"
"2002","Fatty acid oxidation","CRAT","Pathway_Level3"
"2003","Amino acid metabolism","CA5B","Pathway_Level2"
"2004","Nucleotide metabolism","SLC25A23","Pathway_Level2"
"2005","Metals and cofactors","COX11","Pathway_Level2"
"2006","Fe-S-containing proteins","NTHL1","Pathway_Level3"
"2007","Vitamin metabolism","MMUT","Pathway_Level2"
"2008","Detoxification","MAOA","Pathway_Level2"
"2009","ROS and glutathione metabolism","TXNRD2","Pathway_Level3"
"2010","Small molecule transport","SFXN3","Pathway_Level1"
"2011","SLC25A family","SLC25A33","Pathway_Level2"
"2012","Signaling","PINK1","Pathway_Level1"
"2013","Mitochondrial dynamics and surveillance","BID","Pathway_Level1"
"2014","Apoptosis","GHITM","Pathway_Level2"
"2015","Mitochondrial central dogma","FASTKD1","Pathway_Level1"
"2016","mtDNA maintenance","TOP1MT","Pathway_Level2"
"2017","mtRNA metabolism","MRPL47","Pathway_Level2"
"2018","mtRNA granules","TRUB2","Pathway_Level3"
"2019","Translation","IARS2","Pathway_Level2"
"2020","Mitochondrial ribosome","MRPL34","Pathway_Level3"
"2021","Protein import, sorting and homeostasis","IMMP1L","Pathway_Level1"
"2022","Protein import and sorting","TIMM22","Pathway_Level2"
"2023","Protein homeostasis","NLN","Pathway_Level2"
"2024","Proteases","YME1L1","Pathway_Level3"
"2025","OXPHOS","COA1","Pathway_Level1"
"2026","OXPHOS subunits","COX7A1","Pathway_Level2"
"2027","OXPHOS assembly factors","DMAC2","Pathway_Level2"
"2028","Complex I","NDUFAB1","Pathway_Level2"
"2029","CI subunits","NDUFB6","Pathway_Level3"
"2030","Complex IV","COX6C","Pathway_Level2"
"2031","CIV assembly factors","TACO1","Pathway_Level3"
"2032","Metabolism","ACOT7","Pathway_Level1"
"2033","Carbohydrate metabolism","L2HGDH","Pathway_Level2"
"2034","Lipid metabolism","ACSM5","Pathway_Level2"
"2035","Fatty acid oxidation","CROT","Pathway_Level3"
"2036","Amino acid metabolism","CHDH","Pathway_Level2"
"2037","Nucleotide metabolism","SLC25A24","Pathway_Level2"
"2038","Metals and cofactors","COX15","Pathway_Level2"
"2039","Fe-S-containing proteins","NUBPL","Pathway_Level3"
"2040","Vitamin metabolism","MTFMT","Pathway_Level2"
"2041","Detoxification","MAOB","Pathway_Level2"
"2042","Small molecule transport","SFXN4","Pathway_Level1"
"2043","SLC25A family","SLC25A34","Pathway_Level2"
"2044","Signaling","PPIF","Pathway_Level1"
"2045","Mitochondrial dynamics and surveillance","BIK","Pathway_Level1"
"2046","Apoptosis","HTRA2","Pathway_Level2"
"2047","Mitochondrial central dogma","FASTKD2","Pathway_Level1"
"2048","mtDNA maintenance","TOP3A","Pathway_Level2"
"2049","mtRNA metabolism","MRPS7","Pathway_Level2"
"2050","Translation","KARS1","Pathway_Level2"
"2051","Mitochondrial ribosome","MRPL35","Pathway_Level3"
"2052","Protein import, sorting and homeostasis","IMMP2L","Pathway_Level1"
"2053","Protein import and sorting","TIMM23","Pathway_Level2"
"2054","Protein homeostasis","NRDC","Pathway_Level2"
"2055","OXPHOS","COA3","Pathway_Level1"
"2056","OXPHOS subunits","COX7A2","Pathway_Level2"
"2057","OXPHOS assembly factors","ECSIT","Pathway_Level2"
"2058","Complex I","NDUFAF1","Pathway_Level2"
"2059","CI subunits","NDUFB7","Pathway_Level3"
"2060","Complex IV","COX7A1","Pathway_Level2"
"2061","CIV assembly factors","TIMM21","Pathway_Level3"
"2062","Metabolism","ACOT9","Pathway_Level1"
"2063","Carbohydrate metabolism","LDHAL6B","Pathway_Level2"
"2064","Lipid metabolism","ACSS1","Pathway_Level2"
"2065","Fatty acid oxidation","DECR1","Pathway_Level3"
"2066","Amino acid metabolism","COMT","Pathway_Level2"
"2067","Nucleotide metabolism","SLC25A25","Pathway_Level2"
"2068","Metals and cofactors","COX17","Pathway_Level2"
"2069","Fe-S-containing proteins","RSAD1","Pathway_Level3"
"2070","Vitamin metabolism","MTHFD1L","Pathway_Level2"
"2071","Detoxification","MGST1","Pathway_Level2"
"2072","Small molecule transport","SFXN5","Pathway_Level1"
"2073","SLC25A family","SLC25A35","Pathway_Level2"
"2074","Signaling","PPTC7","Pathway_Level1"
"2075","Mitochondrial dynamics and surveillance","BNIP3","Pathway_Level1"
"2076","Apoptosis","IFI27","Pathway_Level2"
"2077","Mitochondrial central dogma","FASTKD3","Pathway_Level1"
"2078","mtDNA maintenance","TWNK","Pathway_Level2"
"2079","mtRNA metabolism","MRPS9","Pathway_Level2"
"2080","Translation","LARS2","Pathway_Level2"
"2081","Mitochondrial ribosome","MRPL36","Pathway_Level3"
"2082","Protein import, sorting and homeostasis","LACTB","Pathway_Level1"
"2083","Protein import and sorting","TIMM29","Pathway_Level2"
"2084","Protein homeostasis","OMA1","Pathway_Level2"
"2085","OXPHOS","COA4","Pathway_Level1"
"2086","OXPHOS subunits","COX7A2L","Pathway_Level2"
"2087","OXPHOS assembly factors","FMC1","Pathway_Level2"
"2088","Complex I","NDUFAF2","Pathway_Level2"
"2089","CI subunits","NDUFB8","Pathway_Level3"
"2090","Complex IV","COX7A2","Pathway_Level2"
"2091","CIV assembly factors","TMEM177","Pathway_Level3"
"2092","Metabolism","ACP6","Pathway_Level1"
"2093","Carbohydrate metabolism","LDHD","Pathway_Level2"
"2094","Lipid metabolism","ACSS3","Pathway_Level2"
"2095","Fatty acid oxidation","ECHS1","Pathway_Level3"
"2096","Amino acid metabolism","CPS1","Pathway_Level2"
"2097","Nucleotide metabolism","SLC25A31","Pathway_Level2"
"2098","Metals and cofactors","COX19","Pathway_Level2"
"2099","Fe-S-containing proteins","SDHB","Pathway_Level3"
"2100","Vitamin metabolism","MTHFD2","Pathway_Level2"
"2101","Detoxification","MPST","Pathway_Level2"
"2102","Small molecule transport","SLC25A1","Pathway_Level1"
"2103","SLC25A family","SLC25A36","Pathway_Level2"
"2104","Signaling","PRKACA","Pathway_Level1"
"2105","Mitochondrial dynamics and surveillance","BNIP3L","Pathway_Level1"
"2106","Apoptosis","MCL1","Pathway_Level2"
"2107","Mitochondrial central dogma","FASTKD5","Pathway_Level1"
"2108","mtDNA maintenance","UNG","Pathway_Level2"
"2109","mtRNA metabolism","MTERF1","Pathway_Level2"
"2110","Translation","LRPPRC","Pathway_Level2"
"2111","Mitochondrial ribosome","MRPL37","Pathway_Level3"
"2112","Protein import, sorting and homeostasis","LAP3","Pathway_Level1"
"2113","Protein import and sorting","TIMM44","Pathway_Level2"
"2114","Protein homeostasis","PARK7","Pathway_Level2"
"2115","OXPHOS","COA5","Pathway_Level1"
"2116","OXPHOS subunits","COX7B","Pathway_Level2"
"2117","OXPHOS assembly factors","FOXRED1","Pathway_Level2"
"2118","Complex I","NDUFAF3","Pathway_Level2"
"2119","CI subunits","NDUFB9","Pathway_Level3"
"2120","Complex IV","COX7A2L","Pathway_Level2"
"2121","Metabolism","ACSF2","Pathway_Level1"
"2122","Carbohydrate metabolism","MCEE","Pathway_Level2"
"2123","Lipid metabolism","AGK","Pathway_Level2"
"2124","Fatty acid oxidation","ECI1","Pathway_Level3"
"2125","Amino acid metabolism","DBT","Pathway_Level2"
"2126","Nucleotide metabolism","SLC25A33","Pathway_Level2"
"2127","Metals and cofactors","CPOX","Pathway_Level2"
"2128","Fe-S-containing proteins","UQCRFS1","Pathway_Level3"
"2129","Vitamin metabolism","MTHFD2L","Pathway_Level2"
"2130","Detoxification","MSRA","Pathway_Level2"
"2131","Small molecule transport","SLC25A10","Pathway_Level1"
"2132","SLC25A family","SLC25A37","Pathway_Level2"
"2133","Signaling","RHOT1","Pathway_Level1"
"2134","Mitochondrial dynamics and surveillance","BOK","Pathway_Level1"
"2135","Apoptosis","PMAIP1","Pathway_Level2"
"2136","Mitochondrial central dogma","GADD45GIP1","Pathway_Level1"
"2137","mtRNA metabolism","MTO1","Pathway_Level2"
"2138","Translation","MALSU1","Pathway_Level2"
"2139","Mitochondrial ribosome","MRPL38","Pathway_Level3"
"2140","Protein import, sorting and homeostasis","LONP1","Pathway_Level1"
"2141","Protein import and sorting","TIMM50","Pathway_Level2"
"2142","Protein homeostasis","PARL","Pathway_Level2"
"2143","OXPHOS","COA6","Pathway_Level1"
"2144","OXPHOS subunits","COX7B2","Pathway_Level2"
"2145","OXPHOS assembly factors","HIGD1A","Pathway_Level2"
"2146","Complex I","NDUFAF4","Pathway_Level2"
"2147","CI subunits","NDUFC1","Pathway_Level3"
"2148","Complex IV","COX7B","Pathway_Level2"
"2149","Metabolism","ACSF3","Pathway_Level1"
"2150","Carbohydrate metabolism","MDH2","Pathway_Level2"
"2151","Lipid metabolism","AGPAT4","Pathway_Level2"
"2152","Fatty acid oxidation","ECI2","Pathway_Level3"
"2153","Amino acid metabolism","DGLUCY","Pathway_Level2"
"2154","Nucleotide metabolism","SLC25A36","Pathway_Level2"
"2155","Metals and cofactors","CPT1A","Pathway_Level2"
"2156","Vitamin metabolism","MTHFS","Pathway_Level2"
"2157","Detoxification","MSRB2","Pathway_Level2"
"2158","Small molecule transport","SLC25A11","Pathway_Level1"
"2159","SLC25A family","SLC25A38","Pathway_Level2"
"2160","Signaling","RHOT2","Pathway_Level1"
"2161","Mitochondrial dynamics and surveillance","CASP3","Pathway_Level1"
"2162","Apoptosis","RTL10","Pathway_Level2"
"2163","Mitochondrial central dogma","GARS1","Pathway_Level1"
"2164","mtRNA metabolism","MTPAP","Pathway_Level2"
"2165","Translation","MARS2","Pathway_Level2"
"2166","Mitochondrial ribosome","MRPL39","Pathway_Level3"
"2167","Protein import, sorting and homeostasis","MAIP1","Pathway_Level1"
"2168","Protein import and sorting","TIMM8A","Pathway_Level2"
"2169","Protein homeostasis","PDF","Pathway_Level2"
"2170","OXPHOS","COA7","Pathway_Level1"
"2171","OXPHOS subunits","COX7C","Pathway_Level2"
"2172","OXPHOS assembly factors","HIGD2A","Pathway_Level2"
"2173","Complex I","NDUFAF5","Pathway_Level2"
"2174","CI subunits","NDUFC2","Pathway_Level3"
"2175","Complex IV","COX7B2","Pathway_Level2"
"2176","Metabolism","ACSL1","Pathway_Level1"
"2177","Carbohydrate metabolism","ME2","Pathway_Level2"
"2178","Lipid metabolism","AGPAT5","Pathway_Level2"
"2179","Fatty acid oxidation","ETFA","Pathway_Level3"
"2180","Amino acid metabolism","DHTKD1","Pathway_Level2"
"2181","Nucleotide metabolism","SLC25A4","Pathway_Level2"
"2182","Metals and cofactors","CPT1B","Pathway_Level2"
"2183","Vitamin metabolism","MTO1","Pathway_Level2"
"2184","Detoxification","MSRB3","Pathway_Level2"
"2185","Small molecule transport","SLC25A12","Pathway_Level1"
"2186","SLC25A family","SLC25A39","Pathway_Level2"
"2187","Signaling","SIRT3","Pathway_Level1"
"2188","Mitochondrial dynamics and surveillance","CASP8","Pathway_Level1"
"2189","Apoptosis","SEPTIN4","Pathway_Level2"
"2190","Mitochondrial central dogma","GATB","Pathway_Level1"
"2191","mtRNA metabolism","MTRES1","Pathway_Level2"
"2192","Translation","METAP1D","Pathway_Level2"
"2193","Mitochondrial ribosome","MRPL4","Pathway_Level3"
"2194","Protein import, sorting and homeostasis","METAP1D","Pathway_Level1"
"2195","Protein import and sorting","TIMM8B","Pathway_Level2"
"2196","Protein homeostasis","PHB","Pathway_Level2"
"2197","OXPHOS","COA8","Pathway_Level1"
"2198","OXPHOS subunits","COX8A","Pathway_Level2"
"2199","OXPHOS assembly factors","LYRM2","Pathway_Level2"
"2200","Complex I","NDUFAF6","Pathway_Level2"
"2201","CI subunits","NDUFS1","Pathway_Level3"
"2202","Complex IV","COX7C","Pathway_Level2"
"2203","Metabolism","ACSL6","Pathway_Level1"
"2204","Carbohydrate metabolism","ME3","Pathway_Level2"
"2205","Lipid metabolism","AMACR","Pathway_Level2"
"2206","Fatty acid oxidation","ETFB","Pathway_Level3"
"2207","Amino acid metabolism","DLD","Pathway_Level2"
"2208","Nucleotide metabolism","SLC25A41","Pathway_Level2"
"2209","Metals and cofactors","CPT1C","Pathway_Level2"
"2210","Vitamin metabolism","PC","Pathway_Level2"
"2211","Detoxification","MTARC1","Pathway_Level2"
"2212","Small molecule transport","SLC25A13","Pathway_Level1"
"2213","SLC25A family","SLC25A4","Pathway_Level2"
"2214","Signaling","SLC25A12","Pathway_Level1"
"2215","Mitochondrial dynamics and surveillance","CASP9","Pathway_Level1"
"2216","Apoptosis","SPHK2","Pathway_Level2"
"2217","Mitochondrial central dogma","GATC","Pathway_Level1"
"2218","mtRNA metabolism","MYG1","Pathway_Level2"
"2219","Translation","METTL17","Pathway_Level2"
"2220","Mitochondrial ribosome","MRPL40","Pathway_Level3"
"2221","Protein import, sorting and homeostasis","MIPEP","Pathway_Level1"
"2222","Protein import and sorting","TIMM9","Pathway_Level2"
"2223","Protein homeostasis","PHB2","Pathway_Level2"
"2224","OXPHOS","COX10","Pathway_Level1"
"2225","OXPHOS subunits","COX8C","Pathway_Level2"
"2226","OXPHOS assembly factors","LYRM7","Pathway_Level2"
"2227","Complex I","NDUFAF7","Pathway_Level2"
"2228","CI subunits","NDUFS2","Pathway_Level3"
"2229","Complex IV","COX8A","Pathway_Level2"
"2230","Metabolism","ACSM1","Pathway_Level1"
"2231","Carbohydrate metabolism","MMUT","Pathway_Level2"
"2232","Lipid metabolism","CBR4","Pathway_Level2"
"2233","Fatty acid oxidation","ETFDH","Pathway_Level3"
"2234","Amino acid metabolism","DLST","Pathway_Level2"
"2235","Nucleotide metabolism","SLC25A5","Pathway_Level2"
"2236","Metals and cofactors","CPT2","Pathway_Level2"
"2237","Vitamin metabolism","PCCA","Pathway_Level2"
"2238","Detoxification","MTARC2","Pathway_Level2"
"2239","Small molecule transport","SLC25A14","Pathway_Level1"
"2240","SLC25A family","SLC25A40","Pathway_Level2"
"2241","Signaling","SLC25A13","Pathway_Level1"
"2242","Mitochondrial dynamics and surveillance","CHCHD2","Pathway_Level1"
"2243","Apoptosis","STYXL1","Pathway_Level2"
"2244","Mitochondrial central dogma","GFM1","Pathway_Level1"
"2245","mtRNA metabolism","NGRN","Pathway_Level2"
"2246","Translation","MIEF1","Pathway_Level2"
"2247","Mitochondrial ribosome","MRPL41","Pathway_Level3"
"2248","Protein import, sorting and homeostasis","MTX1","Pathway_Level1"
"2249","Protein import and sorting","TOMM20","Pathway_Level2"
"2250","Protein homeostasis","PITRM1","Pathway_Level2"
"2251","OXPHOS","COX11","Pathway_Level1"
"2252","OXPHOS subunits","CYC1","Pathway_Level2"
"2253","OXPHOS assembly factors","NDUFAF1","Pathway_Level2"
"2254","Complex I","NDUFAF8","Pathway_Level2"
"2255","CI subunits","NDUFS3","Pathway_Level3"
"2256","Complex IV","COX8C","Pathway_Level2"
"2257","Metabolism","ACSM2A","Pathway_Level1"
"2258","Carbohydrate metabolism","MPC1","Pathway_Level2"
"2259","Lipid metabolism","CHPT1","Pathway_Level2"
"2260","Fatty acid oxidation","HADH","Pathway_Level3"
"2261","Amino acid metabolism","DMGDH","Pathway_Level2"
"2262","Nucleotide metabolism","SLC25A6","Pathway_Level2"
"2263","Metals and cofactors","CYB5B","Pathway_Level2"
"2264","Vitamin metabolism","PLPBP","Pathway_Level2"
"2265","Detoxification","NIT1","Pathway_Level2"
"2266","Small molecule transport","SLC25A15","Pathway_Level1"
"2267","SLC25A family","SLC25A41","Pathway_Level2"
"2268","Signaling","SLC25A23","Pathway_Level1"
"2269","Mitochondrial dynamics and surveillance","CHCHD3","Pathway_Level1"
"2270","Mitochondrial central dogma","GFM2","Pathway_Level1"
"2271","mtRNA metabolism","NOA1","Pathway_Level2"
"2272","Translation","MPV17L2","Pathway_Level2"
"2273","Mitochondrial ribosome","MRPL42","Pathway_Level3"
"2274","Protein import, sorting and homeostasis","MTX2","Pathway_Level1"
"2275","Protein import and sorting","TOMM20L","Pathway_Level2"
"2276","Protein homeostasis","PMPCA","Pathway_Level2"
"2277","OXPHOS","COX14","Pathway_Level1"
"2278","OXPHOS subunits","CYCS","Pathway_Level2"
"2279","OXPHOS assembly factors","NDUFAF2","Pathway_Level2"
"2280","Complex I","NDUFB1","Pathway_Level2"
"2281","CI subunits","NDUFS4","Pathway_Level3"
"2282","Complex IV","HIGD1A","Pathway_Level2"
"2283","Metabolism","ACSM2B","Pathway_Level1"
"2284","Carbohydrate metabolism","MPC1L","Pathway_Level2"
"2285","Lipid metabolism","CPT1A","Pathway_Level2"
"2286","Fatty acid oxidation","HADHA","Pathway_Level3"
"2287","Amino acid metabolism","ECHS1","Pathway_Level2"
"2288","Nucleotide metabolism","SUCLA2","Pathway_Level2"
"2289","Metals and cofactors","CYC1","Pathway_Level2"
"2290","Vitamin metabolism","PNPO","Pathway_Level2"
"2291","Detoxification","NIT2","Pathway_Level2"
"2292","Small molecule transport","SLC25A16","Pathway_Level1"
"2293","SLC25A family","SLC25A42","Pathway_Level2"
"2294","Signaling","SLC25A24","Pathway_Level1"
"2295","Mitochondrial dynamics and surveillance","CHCHD6","Pathway_Level1"
"2296","Mitochondrial central dogma","GRSF1","Pathway_Level1"
"2297","mtRNA metabolism","NSUN2","Pathway_Level2"
"2298","Translation","MRM2","Pathway_Level2"
"2299","Mitochondrial ribosome","MRPL43","Pathway_Level3"
"2300","Protein import, sorting and homeostasis","MUL1","Pathway_Level1"
"2301","Protein import and sorting","TOMM22","Pathway_Level2"
"2302","Protein homeostasis","PMPCB","Pathway_Level2"
"2303","OXPHOS","COX15","Pathway_Level1"
"2304","OXPHOS subunits","DMAC2L","Pathway_Level2"
"2305","OXPHOS assembly factors","NDUFAF3","Pathway_Level2"
"2306","Complex I","NDUFB10","Pathway_Level2"
"2307","CI subunits","NDUFS5","Pathway_Level3"
"2308","Complex IV","MT-CO1","Pathway_Level2"
"2309","Metabolism","ACSM3","Pathway_Level1"
"2310","Carbohydrate metabolism","MPC2","Pathway_Level2"
"2311","Lipid metabolism","CPT1B","Pathway_Level2"
"2312","Fatty acid oxidation","HADHB","Pathway_Level3"
"2313","Amino acid metabolism","ETFA","Pathway_Level2"
"2314","Nucleotide metabolism","SUCLG1","Pathway_Level2"
"2315","Metals and cofactors","CYCS","Pathway_Level2"
"2316","Vitamin metabolism","QDPR","Pathway_Level2"
"2317","Detoxification","OXR1","Pathway_Level2"
"2318","Small molecule transport","SLC25A18","Pathway_Level1"
"2319","SLC25A family","SLC25A43","Pathway_Level2"
"2320","Signaling","SLC25A25","Pathway_Level1"
"2321","Mitochondrial dynamics and surveillance","CYCS","Pathway_Level1"
"2322","Mitochondrial central dogma","GTPBP10","Pathway_Level1"
"2323","mtRNA metabolism","NSUN3","Pathway_Level2"
"2324","Translation","MRM3","Pathway_Level2"
"2325","Mitochondrial ribosome","MRPL44","Pathway_Level3"
"2326","Protein import, sorting and homeostasis","NLN","Pathway_Level1"
"2327","Protein import and sorting","TOMM34","Pathway_Level2"
"2328","Protein homeostasis","PRSS35","Pathway_Level2"
"2329","OXPHOS","COX16","Pathway_Level1"
"2330","OXPHOS subunits","HCCS","Pathway_Level2"
"2331","OXPHOS assembly factors","NDUFAF4","Pathway_Level2"
"2332","Complex I","NDUFB11","Pathway_Level2"
"2333","CI subunits","NDUFS6","Pathway_Level3"
"2334","Complex IV","MT-CO2","Pathway_Level2"
"2335","Metabolism","ACSM4","Pathway_Level1"
"2336","Carbohydrate metabolism","MRPS36","Pathway_Level2"
"2337","Lipid metabolism","CPT1C","Pathway_Level2"
"2338","Fatty acid oxidation","HSD17B10","Pathway_Level3"
"2339","Amino acid metabolism","ETFB","Pathway_Level2"
"2340","Nucleotide metabolism","SUCLG2","Pathway_Level2"
"2341","Metals and cofactors","CYP11A1","Pathway_Level2"
"2342","Vitamin metabolism","RDH13","Pathway_Level2"
"2343","Detoxification","PRDX2","Pathway_Level2"
"2344","Small molecule transport","SLC25A19","Pathway_Level1"
"2345","SLC25A family","SLC25A44","Pathway_Level2"
"2346","Signaling","SLC25A3","Pathway_Level1"
"2347","Mitochondrial dynamics and surveillance","DIABLO","Pathway_Level1"
"2348","Mitochondrial central dogma","GTPBP3","Pathway_Level1"
"2349","mtRNA metabolism","NSUN4","Pathway_Level2"
"2350","Translation","MRPL1","Pathway_Level2"
"2351","Mitochondrial ribosome","MRPL45","Pathway_Level3"
"2352","Protein import, sorting and homeostasis","NRDC","Pathway_Level1"
"2353","Protein import and sorting","TOMM40","Pathway_Level2"
"2354","Protein homeostasis","SPG7","Pathway_Level2"
"2355","OXPHOS","COX17","Pathway_Level1"
"2356","OXPHOS subunits","MT-ATP6","Pathway_Level2"
"2357","OXPHOS assembly factors","NDUFAF5","Pathway_Level2"
"2358","Complex I","NDUFB2","Pathway_Level2"
"2359","CI subunits","NDUFS7","Pathway_Level3"
"2360","Complex IV","MT-CO3","Pathway_Level2"
"2361","Metabolism","ACSM5","Pathway_Level1"
"2362","Carbohydrate metabolism","NEU4","Pathway_Level2"
"2363","Lipid metabolism","CPT2","Pathway_Level2"
"2364","Fatty acid oxidation","MCEE","Pathway_Level3"
"2365","Amino acid metabolism","ETFDH","Pathway_Level2"
"2366","Nucleotide metabolism","TK2","Pathway_Level2"
"2367","Metals and cofactors","CYP11B1","Pathway_Level2"
"2368","Vitamin metabolism","RDH14","Pathway_Level2"
"2369","Detoxification","PRDX3","Pathway_Level2"
