Pathway,Gene
CIV assembly factors,PET117
Complex V,DMAC2L
Metabolism,ACLY
Carbohydrate metabolism,HMGCL
Lipid metabolism,ACSL6
Fatty acid oxidation,AMACR
Phospholipid metabolism,TAMM41
Amino acid metabolism,BCAT2
Branched-chain amino acid metabolism,MCCC1
Nucleotide metabolism,NUDT2
Nucleotide synthesis and processing,SUCLG1
Metals and cofactors,COQ7
Fe-S cluster biosynthesis,NFU1
Fe-S-containing proteins,NDUFS8
Vitamin metabolism,GTPBP3
Detoxification,GPX4
Xenobiotic metabolism,MTARC2
ROS and glutathione metabolism,PRXL2A
Small molecule transport,MTCH1
SLC25A family,SLC25A29
Signaling,MRS2
Calcium homeostasis,SMDT1
Mitochondrial dynamics and surveillance,BCL2L1
Apoptosis,CASP9
Mitochondrial central dogma,ERAL1
mtDNA maintenance,RECQL4
mtRNA metabolism,METTL8
mtRNA granules,RPUSD3
Translation,GRSF1
Mitochondrial ribosome,MRPL28
Mitochondrial ribosome assembly,TRMT61B
"Protein import, sorting and homeostasis",GRPEL2
Protein import and sorting,TIMM10B
Protein homeostasis,LONP1
Proteases,PMPCA
OXPHOS,ATPSCKMT
OXPHOS subunits,COX6A1
OXPHOS assembly factors,COX18
Complex I,NDUFA5
CI subunits,NDUFB11
Complex IV,COX5B
CIV assembly factors,PNKD
Complex V,FMC1
Metabolism,ACO2
Carbohydrate metabolism,HMGCS2
Lipid metabolism,ACSM1
Fatty acid oxidation,CPT1A
Phospholipid metabolism,TRIAP1
Amino acid metabolism,BCKDHA
Branched-chain amino acid metabolism,MCCC2
Nucleotide metabolism,NUDT5
Nucleotide synthesis and processing,SUCLG2
Metals and cofactors,COQ8A
Fe-S cluster biosynthesis,NUBPL
Fe-S-containing proteins,NDUFV1
Vitamin metabolism,MCCC1
Detoxification,GSR
Xenobiotic metabolism,TST
ROS and glutathione metabolism,SOD1
Small molecule transport,MTCH2
SLC25A family,SLC25A3
Signaling,MUL1
Calcium homeostasis,VDAC1
Mitochondrial dynamics and surveillance,BCL2L10
Apoptosis,CHCHD2
Mitochondrial central dogma,EXD2
mtDNA maintenance,RNASEH1
mtRNA metabolism,MRM1
mtRNA granules,RPUSD4
Translation,GTPBP10
Mitochondrial ribosome,MRPL3
Mitochondrial ribosome assembly,YBEY
"Protein import, sorting and homeostasis",HSPD1
Protein import and sorting,TIMM13
Protein homeostasis,MAIP1
Proteases,PMPCB
OXPHOS,BCS1L
OXPHOS subunits,COX6A2
OXPHOS assembly factors,COX19
Complex I,NDUFA6
CI subunits,NDUFB2
Complex IV,COX6A1
CIV assembly factors,SCO1
Complex V,MT-ATP6
Metabolism,ACOD1
Carbohydrate metabolism,IDH2
Lipid metabolism,ACSM2A
Fatty acid oxidation,CPT1B
Amino acid metabolism,BCKDHB
Branched-chain amino acid metabolism,PPM1K
Nucleotide metabolism,NUDT9
Nucleotide synthesis and processing,TK2
Metals and cofactors,COQ8B
Fe-S-containing proteins,NDUFV2
Vitamin metabolism,MMAA
Detoxification,GSTK1
ROS and glutathione metabolism,SOD2
Small molecule transport,ROMO1
SLC25A family,SLC25A30
Signaling,NLRX1
Calcium homeostasis,VDAC3
Mitochondrial dynamics and surveillance,BCL2L11
Apoptosis,CYCS
Mitochondrial central dogma,EXOG
mtDNA maintenance,SSBP1
mtRNA metabolism,MRM2
mtRNA granules,SUPV3L1
Translation,GUF1
Mitochondrial ribosome,MRPL30
"Protein import, sorting and homeostasis",HSPE1
Protein import and sorting,TIMM17A
Protein homeostasis,METAP1D
Proteases,SPG7
OXPHOS,CEP89
OXPHOS subunits,COX6B1
OXPHOS assembly factors,COX20
Complex I,NDUFA7
CI subunits,NDUFB3
Complex IV,COX6A2
CIV assembly factors,SCO2
Complex V,MT-ATP8
Metabolism,ACOT11
Carbohydrate metabolism,IDH3A
Lipid metabolism,ACSM2B
Fatty acid oxidation,CPT1C
Amino acid metabolism,BCKDK
Branched-chain amino acid metabolism,SLC25A44
Nucleotide metabolism,PAICS
Metals and cofactors,COQ9
Fe-S-containing proteins,NFS1
Vitamin metabolism,MMAB
Detoxification,GSTZ1
ROS and glutathione metabolism,TXN2
Small molecule transport,SFXN1
SLC25A family,SLC25A31
Signaling,OCIAD2
Mitochondrial dynamics and surveillance,BCL2L13
Apoptosis,DIABLO
Mitochondrial central dogma,FARS2
mtDNA maintenance,TFAM
mtRNA metabolism,MRM3
mtRNA granules,TFB1M
Translation,HARS2
Mitochondrial ribosome,MRPL32
"Protein import, sorting and homeostasis",HTRA2
Protein import and sorting,TIMM17B
Protein homeostasis,MIPEP
Proteases,USP30
OXPHOS,CMC1
OXPHOS subunits,COX6B2
OXPHOS assembly factors,COX7A2L
Complex I,NDUFA8
CI subunits,NDUFB4
Complex IV,COX6B1
CIV assembly factors,SMIM20
Complex V,TMEM70
Metabolism,ACOT13
Carbohydrate metabolism,IDH3B
Lipid metabolism,ACSM3
Fatty acid oxidation,CPT2
Amino acid metabolism,CA5A
Nucleotide metabolism,PPA2
Metals and cofactors,COX10
Fe-S-containing proteins,NFU1
Vitamin metabolism,MMADHC
Detoxification,HAGH
ROS and glutathione metabolism,TXNRD1
Small molecule transport,SFXN2
SLC25A family,SLC25A32
Signaling,PDE2A
Mitochondrial dynamics and surveillance,BCL2L2
Apoptosis,ENDOG
Mitochondrial central dogma,FASTK
mtDNA maintenance,TFB2M
mtRNA metabolism,MRPL12
mtRNA granules,TRMT10C
Translation,HEMK1
Mitochondrial ribosome,MRPL33
"Protein import, sorting and homeostasis",IDE
Protein import and sorting,TIMM21
Protein homeostasis,MUL1
Proteases,XPNPEP3
OXPHOS,CMC2
OXPHOS subunits,COX6C
OXPHOS assembly factors,DMAC1
Complex I,NDUFA9
CI subunits,NDUFB5
Complex IV,COX6B2
CIV assembly factors,SURF1
Metabolism,ACOT2
Carbohydrate metabolism,IDH3G
Lipid metabolism,ACSM4
Fatty acid oxidation,CRAT
Amino acid metabolism,CA5B
Nucleotide metabolism,SLC25A23
Metals and cofactors,COX11
Fe-S-containing proteins,NTHL1
Vitamin metabolism,MMUT
Detoxification,MAOA
ROS and glutathione metabolism,TXNRD2
Small molecule transport,SFXN3
SLC25A family,SLC25A33
Signaling,PINK1
Mitochondrial dynamics and surveillance,BID
Apoptosis,GHITM
Mitochondrial central dogma,FASTKD1
mtDNA maintenance,TOP1MT
mtRNA metabolism,MRPL47
mtRNA granules,TRUB2
Translation,IARS2
Mitochondrial ribosome,MRPL34
"Protein import, sorting and homeostasis",IMMP1L
Protein import and sorting,TIMM22
Protein homeostasis,NLN
Proteases,YME1L1
OXPHOS,COA1
OXPHOS subunits,COX7A1
OXPHOS assembly factors,DMAC2
Complex I,NDUFAB1
CI subunits,NDUFB6
Complex IV,COX6C
CIV assembly factors,TACO1
Metabolism,ACOT7
Carbohydrate metabolism,L2HGDH
Lipid metabolism,ACSM5
Fatty acid oxidation,CROT
Amino acid metabolism,CHDH
Nucleotide metabolism,SLC25A24
Metals and cofactors,COX15
Fe-S-containing proteins,NUBPL
Vitamin metabolism,MTFMT
Detoxification,MAOB
Small molecule transport,SFXN4
SLC25A family,SLC25A34
Signaling,PPIF
Mitochondrial dynamics and surveillance,BIK
Apoptosis,HTRA2
Mitochondrial central dogma,FASTKD2
mtDNA maintenance,TOP3A
mtRNA metabolism,MRPS7
Translation,KARS1
Mitochondrial ribosome,MRPL35
"Protein import, sorting and homeostasis",IMMP2L
Protein import and sorting,TIMM23
Protein homeostasis,NRDC
OXPHOS,COA3
OXPHOS subunits,COX7A2
OXPHOS assembly factors,ECSIT
Complex I,NDUFAF1
CI subunits,NDUFB7
Complex IV,COX7A1
CIV assembly factors,TIMM21
Metabolism,ACOT9
Carbohydrate metabolism,LDHAL6B
Lipid metabolism,ACSS1
Fatty acid oxidation,DECR1
Amino acid metabolism,COMT
Nucleotide metabolism,SLC25A25
Metals and cofactors,COX17
Fe-S-containing proteins,RSAD1
Vitamin metabolism,MTHFD1L
Detoxification,MGST1
Small molecule transport,SFXN5
SLC25A family,SLC25A35
Signaling,PPTC7
Mitochondrial dynamics and surveillance,BNIP3
Apoptosis,IFI27
Mitochondrial central dogma,FASTKD3
mtDNA maintenance,TWNK
mtRNA metabolism,MRPS9
Translation,LARS2
Mitochondrial ribosome,MRPL36
"Protein import, sorting and homeostasis",LACTB
Protein import and sorting,TIMM29
Protein homeostasis,OMA1
OXPHOS,COA4
OXPHOS subunits,COX7A2L
OXPHOS assembly factors,FMC1
Complex I,NDUFAF2
CI subunits,NDUFB8
Complex IV,COX7A2
CIV assembly factors,TMEM177
Metabolism,ACP6
Carbohydrate metabolism,LDHD
Lipid metabolism,ACSS3
Fatty acid oxidation,ECHS1
Amino acid metabolism,CPS1
Nucleotide metabolism,SLC25A31
Metals and cofactors,COX19
Fe-S-containing proteins,SDHB
Vitamin metabolism,MTHFD2
Detoxification,MPST
Small molecule transport,SLC25A1
SLC25A family,SLC25A36
Signaling,PRKACA
Mitochondrial dynamics and surveillance,BNIP3L
Apoptosis,MCL1
Mitochondrial central dogma,FASTKD5
mtDNA maintenance,UNG
mtRNA metabolism,MTERF1
Translation,LRPPRC
Mitochondrial ribosome,MRPL37
"Protein import, sorting and homeostasis",LAP3
Protein import and sorting,TIMM44
Protein homeostasis,PARK7
OXPHOS,COA5
OXPHOS subunits,COX7B
OXPHOS assembly factors,FOXRED1
Complex I,NDUFAF3
CI subunits,NDUFB9
Complex IV,COX7A2L
Metabolism,ACSF2
Carbohydrate metabolism,MCEE
Lipid metabolism,AGK
Fatty acid oxidation,ECI1
Amino acid metabolism,DBT
Nucleotide metabolism,SLC25A33
Metals and cofactors,CPOX
Fe-S-containing proteins,UQCRFS1
Vitamin metabolism,MTHFD2L
Detoxification,MSRA
Small molecule transport,SLC25A10
SLC25A family,SLC25A37
Signaling,RHOT1
Mitochondrial dynamics and surveillance,BOK
Apoptosis,PMAIP1
Mitochondrial central dogma,GADD45GIP1
mtRNA metabolism,MTO1
Translation,MALSU1
Mitochondrial ribosome,MRPL38
"Protein import, sorting and homeostasis",LONP1
Protein import and sorting,TIMM50
Protein homeostasis,PARL
OXPHOS,COA6
OXPHOS subunits,COX7B2
OXPHOS assembly factors,HIGD1A
Complex I,NDUFAF4
CI subunits,NDUFC1
Complex IV,COX7B
Metabolism,ACSF3
Carbohydrate metabolism,MDH2
Lipid metabolism,AGPAT4
Fatty acid oxidation,ECI2
Amino acid metabolism,DGLUCY
Nucleotide metabolism,SLC25A36
Metals and cofactors,CPT1A
Vitamin metabolism,MTHFS
Detoxification,MSRB2
Small molecule transport,SLC25A11
SLC25A family,SLC25A38
Signaling,RHOT2
Mitochondrial dynamics and surveillance,CASP3
Apoptosis,RTL10
Mitochondrial central dogma,GARS1
mtRNA metabolism,MTPAP
Translation,MARS2
Mitochondrial ribosome,MRPL39
"Protein import, sorting and homeostasis",MAIP1
Protein import and sorting,TIMM8A
Protein homeostasis,PDF
OXPHOS,COA7
OXPHOS subunits,COX7C
OXPHOS assembly factors,HIGD2A
Complex I,NDUFAF5
CI subunits,NDUFC2
Complex IV,COX7B2
Metabolism,ACSL1
Carbohydrate metabolism,ME2
Lipid metabolism,AGPAT5
Fatty acid oxidation,ETFA
Amino acid metabolism,DHTKD1
Nucleotide metabolism,SLC25A4
Metals and cofactors,CPT1B
Vitamin metabolism,MTO1
Detoxification,MSRB3
Small molecule transport,SLC25A12
SLC25A family,SLC25A39
Signaling,SIRT3
Mitochondrial dynamics and surveillance,CASP8
Apoptosis,SEPTIN4
Mitochondrial central dogma,GATB
mtRNA metabolism,MTRES1
Translation,METAP1D
Mitochondrial ribosome,MRPL4
"Protein import, sorting and homeostasis",METAP1D
Protein import and sorting,TIMM8B
Protein homeostasis,PHB
OXPHOS,COA8
OXPHOS subunits,COX8A
OXPHOS assembly factors,LYRM2
Complex I,NDUFAF6
CI subunits,NDUFS1
Complex IV,COX7C
Metabolism,ACSL6
Carbohydrate metabolism,ME3
Lipid metabolism,AMACR
Fatty acid oxidation,ETFB
Amino acid metabolism,DLD
Nucleotide metabolism,SLC25A41
Metals and cofactors,CPT1C
Vitamin metabolism,PC
Detoxification,MTARC1
Small molecule transport,SLC25A13
SLC25A family,SLC25A4
Signaling,SLC25A12
Mitochondrial dynamics and surveillance,CASP9
Apoptosis,SPHK2
Mitochondrial central dogma,GATC
mtRNA metabolism,MYG1
Translation,METTL17
Mitochondrial ribosome,MRPL40
"Protein import, sorting and homeostasis",MIPEP
Protein import and sorting,TIMM9
Protein homeostasis,PHB2
OXPHOS,COX10
OXPHOS subunits,COX8C
OXPHOS assembly factors,LYRM7
Complex I,NDUFAF7
CI subunits,NDUFS2
Complex IV,COX8A
Metabolism,ACSM1
Carbohydrate metabolism,MMUT
Lipid metabolism,CBR4
Fatty acid oxidation,ETFDH
Amino acid metabolism,DLST
Nucleotide metabolism,SLC25A5
Metals and cofactors,CPT2
Vitamin metabolism,PCCA
Detoxification,MTARC2
Small molecule transport,SLC25A14
SLC25A family,SLC25A40
Signaling,SLC25A13
Mitochondrial dynamics and surveillance,CHCHD2
Apoptosis,STYXL1
Mitochondrial central dogma,GFM1
mtRNA metabolism,NGRN
Translation,MIEF1
Mitochondrial ribosome,MRPL41
"Protein import, sorting and homeostasis",MTX1
Protein import and sorting,TOMM20
Protein homeostasis,PITRM1
OXPHOS,COX11
OXPHOS subunits,CYC1
OXPHOS assembly factors,NDUFAF1
Complex I,NDUFAF8
CI subunits,NDUFS3
Complex IV,COX8C
Metabolism,ACSM2A
Carbohydrate metabolism,MPC1
Lipid metabolism,CHPT1
Fatty acid oxidation,HADH
Amino acid metabolism,DMGDH
Nucleotide metabolism,SLC25A6
Metals and cofactors,CYB5B
Vitamin metabolism,PLPBP
Detoxification,NIT1
Small molecule transport,SLC25A15
SLC25A family,SLC25A41
Signaling,SLC25A23
Mitochondrial dynamics and surveillance,CHCHD3
Mitochondrial central dogma,GFM2
mtRNA metabolism,NOA1
Translation,MPV17L2
Mitochondrial ribosome,MRPL42
"Protein import, sorting and homeostasis",MTX2
Protein import and sorting,TOMM20L
Protein homeostasis,PMPCA
OXPHOS,COX14
OXPHOS subunits,CYCS
OXPHOS assembly factors,NDUFAF2
Complex I,NDUFB1
CI subunits,NDUFS4
Complex IV,HIGD1A
Metabolism,ACSM2B
Carbohydrate metabolism,MPC1L
Lipid metabolism,CPT1A
Fatty acid oxidation,HADHA
Amino acid metabolism,ECHS1
Nucleotide metabolism,SUCLA2
Metals and cofactors,CYC1
Vitamin metabolism,PNPO
Detoxification,NIT2
Small molecule transport,SLC25A16
SLC25A family,SLC25A42
Signaling,SLC25A24
Mitochondrial dynamics and surveillance,CHCHD6
Mitochondrial central dogma,GRSF1
mtRNA metabolism,NSUN2
Translation,MRM2
Mitochondrial ribosome,MRPL43
"Protein import, sorting and homeostasis",MUL1
Protein import and sorting,TOMM22
Protein homeostasis,PMPCB
OXPHOS,COX15
OXPHOS subunits,DMAC2L
OXPHOS assembly factors,NDUFAF3
Complex I,NDUFB10
CI subunits,NDUFS5
Complex IV,MT-CO1
Metabolism,ACSM3
Carbohydrate metabolism,MPC2
Lipid metabolism,CPT1B
Fatty acid oxidation,HADHB
Amino acid metabolism,ETFA
Nucleotide metabolism,SUCLG1
Metals and cofactors,CYCS
Vitamin metabolism,QDPR
Detoxification,OXR1
Small molecule transport,SLC25A18
SLC25A family,SLC25A43
Signaling,SLC25A25
Mitochondrial dynamics and surveillance,CYCS
Mitochondrial central dogma,GTPBP10
mtRNA metabolism,NSUN3
Translation,MRM3
Mitochondrial ribosome,MRPL44
"Protein import, sorting and homeostasis",NLN
Protein import and sorting,TOMM34
Protein homeostasis,PRSS35
OXPHOS,COX16
OXPHOS subunits,HCCS
OXPHOS assembly factors,NDUFAF4
Complex I,NDUFB11
CI subunits,NDUFS6
Complex IV,MT-CO2
Metabolism,ACSM4
Carbohydrate metabolism,MRPS36
Lipid metabolism,CPT1C
Fatty acid oxidation,HSD17B10
Amino acid metabolism,ETFB
Nucleotide metabolism,SUCLG2
Metals and cofactors,CYP11A1
Vitamin metabolism,RDH13
Detoxification,PRDX2
Small molecule transport,SLC25A19
SLC25A family,SLC25A44
Signaling,SLC25A3
Mitochondrial dynamics and surveillance,DIABLO
Mitochondrial central dogma,GTPBP3
mtRNA metabolism,NSUN4
Translation,MRPL1
Mitochondrial ribosome,MRPL45
"Protein import, sorting and homeostasis",NRDC
Protein import and sorting,TOMM40
Protein homeostasis,SPG7
OXPHOS,COX17
OXPHOS subunits,MT-ATP6
OXPHOS assembly factors,NDUFAF5
Complex I,NDUFB2
CI subunits,NDUFS7
Complex IV,MT-CO3
Metabolism,ACSM5
Carbohydrate metabolism,NEU4
Lipid metabolism,CPT2
Fatty acid oxidation,MCEE
Amino acid metabolism,ETFDH
Nucleotide metabolism,TK2
Metals and cofactors,CYP11B1
Vitamin metabolism,RDH14
Detoxification,PRDX3
Small molecule transport,SLC25A20
SLC25A family,SLC25A45
Signaling,SLC25A31
Mitochondrial dynamics and surveillance,DNAJC11
Mitochondrial central dogma,GUF1
mtRNA metabolism,OSGEPL1
Translation,MRPL10
Mitochondrial ribosome,MRPL46
"Protein import, sorting and homeostasis",OMA1
Protein import and sorting,TOMM40L
Protein homeostasis,STOML2
OXPHOS,COX18
OXPHOS subunits,MT-ATP8
OXPHOS assembly factors,NDUFAF6
Complex I,NDUFB3
CI subunits,NDUFS8
Complex IV,NDUFA4
Metabolism,ACSS1
Carbohydrate metabolism,OGDH
Lipid metabolism,CRAT
Fatty acid oxidation,MMUT
Amino acid metabolism,GCAT
Metals and cofactors,CYP11B2
Vitamin metabolism,RFK
Detoxification,PRDX4
Small molecule transport,SLC25A21
SLC25A family,SLC25A46
Signaling,SLC25A4
Mitochondrial dynamics and surveillance,DNM1L
Mitochondrial central dogma,HARS2
mtRNA metabolism,PDE12
Translation,MRPL11
Mitochondrial ribosome,MRPL47
"Protein import, sorting and homeostasis",OXA1L
Protein import and sorting,TOMM5
Protein homeostasis,TIMM10
OXPHOS,COX19
OXPHOS subunits,MT-CO1
OXPHOS assembly factors,NDUFAF7
Complex I,NDUFB4
CI subunits,NDUFV1
Complex IV,PET100
Metabolism,ACSS3
Carbohydrate metabolism,OGDHL
Lipid metabolism,CRLS1
Fatty acid oxidation,PCCA
Amino acid metabolism,GCDH
Metals and cofactors,CYP24A1
Vitamin metabolism,SARDH
Detoxification,PRDX5
Small molecule transport,SLC25A22
SLC25A family,SLC25A47
Signaling,SLC25A5
Mitochondrial dynamics and surveillance,ENDOG
Mitochondrial central dogma,HEMK1
mtRNA metabolism,PNPT1
Translation,MRPL12
Mitochondrial ribosome,MRPL48
"Protein import, sorting and homeostasis",PAM16
Protein import and sorting,TOMM6
Protein homeostasis,TIMM10B
OXPHOS,COX20
OXPHOS subunits,MT-CO2
OXPHOS assembly factors,NDUFAF8
Complex I,NDUFB5
CI subunits,NDUFV2
Complex IV,PET117
Metabolism,ADHFE1
Carbohydrate metabolism,OXCT1
Lipid metabolism,CROT
Fatty acid oxidation,PCCB
Amino acid metabolism,GCSH
Metals and cofactors,CYP27A1
Vitamin metabolism,SFXN1
Detoxification,PRDX6
Small molecule transport,SLC25A23
SLC25A family,SLC25A48
Signaling,SLC25A6
Mitochondrial dynamics and surveillance,FIS1
Mitochondrial central dogma,HSD17B10
mtRNA metabolism,POLRMT
Translation,MRPL13
Mitochondrial ribosome,MRPL49
"Protein import, sorting and homeostasis",PARK7
Protein import and sorting,TOMM7
Protein homeostasis,TIMM13
OXPHOS,COX4I1
OXPHOS subunits,MT-CO3
OXPHOS assembly factors,NUBPL
Complex I,NDUFB6
CI subunits,NDUFV3
Complex IV,PNKD
Metabolism,AGK
Carbohydrate metabolism,OXCT2
Lipid metabolism,CYB5R3
Fatty acid oxidation,SLC25A20
Amino acid metabolism,GLDC
Metals and cofactors,CYP27B1
Vitamin metabolism,SFXN3
Detoxification,PRXL2A
Small molecule transport,SLC25A24
SLC25A family,SLC25A5
Signaling,SLC8B1
Mitochondrial dynamics and surveillance,FKBP8
Mitochondrial central dogma,IARS2
mtRNA metabolism,PPA2
Translation,MRPL14
Mitochondrial ribosome,MRPL50
"Protein import, sorting and homeostasis",PARL
Protein import and sorting,TOMM70
Protein homeostasis,TIMM8A
OXPHOS,COX4I2
OXPHOS subunits,MT-CYB
OXPHOS assembly factors,PET100
Complex I,NDUFB7
Complex IV,SCO1
Metabolism,AGMAT
Carbohydrate metabolism,PC
Lipid metabolism,CYP11A1
Amino acid metabolism,GLS
Metals and cofactors,DNA2
Vitamin metabolism,SHMT2
Detoxification,SELENOO
Small molecule transport,SLC25A25
SLC25A family,SLC25A51
Signaling,SMDT1
Mitochondrial dynamics and surveillance,FUNDC1
Mitochondrial central dogma,KARS1
mtRNA metabolism,PRORP
Translation,MRPL15
Mitochondrial ribosome,MRPL51
"Protein import, sorting and homeostasis",PDF
Protein import and sorting,UQCRC1
Protein homeostasis,TIMM8B
OXPHOS,COX5A
OXPHOS subunits,MT-ND1
OXPHOS assembly factors,PET117
Complex I,NDUFB8
Complex IV,SCO2
Metabolism,AGPAT4
Carbohydrate metabolism,PCCA
Lipid metabolism,CYP11B1
Amino acid metabolism,GLS2
Metals and cofactors,ETFDH
Vitamin metabolism,SLC25A19
Detoxification,SOD1
Small molecule transport,SLC25A26
SLC25A family,SLC25A52
Signaling,SPHKAP
Mitochondrial dynamics and surveillance,FUNDC2
Mitochondrial central dogma,LACTB2
mtRNA metabolism,PTCD1
Translation,MRPL16
Mitochondrial ribosome,MRPL52
"Protein import, sorting and homeostasis",PHB
Protein import and sorting,UQCRC2
Protein homeostasis,TIMM9
OXPHOS,COX5B
OXPHOS subunits,MT-ND2
OXPHOS assembly factors,PNKD
Complex I,NDUFB9
Complex IV,SMIM20
Metabolism,AGPAT5
Carbohydrate metabolism,PCCB
Lipid metabolism,CYP11B2
Amino acid metabolism,GLUD1
Metals and cofactors,FABP1
Vitamin metabolism,SLC25A32
Detoxification,SOD2
Small molecule transport,SLC25A27
SLC25A family,SLC25A53
Signaling,VDAC1
Mitochondrial dynamics and surveillance,GHITM
Mitochondrial central dogma,LARS2
mtRNA metabolism,PTCD2
Translation,MRPL17
Mitochondrial ribosome,MRPL53
"Protein import, sorting and homeostasis",PHB2
Protein import and sorting,XPNPEP3
Protein homeostasis,TRAP1
OXPHOS,COX6A1
OXPHOS subunits,MT-ND3
OXPHOS assembly factors,RAB5IF
Complex I,NDUFC1
Complex IV,SURF1
Metabolism,AGXT
Carbohydrate metabolism,PCK2
Lipid metabolism,CYP27A1
Amino acid metabolism,GLUD2
Metals and cofactors,FAM210B
Vitamin metabolism,SLC25A38
Detoxification,TST
Small molecule transport,SLC25A28
SLC25A family,SLC25A6
Signaling,VDAC3
Mitochondrial dynamics and surveillance,HTRA2
Mitochondrial central dogma,LIG3
mtRNA metabolism,PUS1
Translation,MRPL18
Mitochondrial ribosome,MRPL54
"Protein import, sorting and homeostasis",PITRM1
Protein homeostasis,USP30
OXPHOS,COX6A2
OXPHOS subunits,MT-ND4
OXPHOS assembly factors,SCO1
Complex I,NDUFC2
Complex IV,TACO1
Metabolism,AGXT2
Carbohydrate metabolism,PDHA1
Lipid metabolism,DBI
Amino acid metabolism,GLYAT
Metals and cofactors,FDX1
Vitamin metabolism,TXN2
Detoxification,TXN2
Small molecule transport,SLC25A29
SLC25A family,UCP1
Mitochondrial dynamics and surveillance,IFI27
Mitochondrial central dogma,LRPPRC
mtRNA metabolism,QTRT1
Translation,MRPL19
Mitochondrial ribosome,MRPL55
"Protein import, sorting and homeostasis",PMPCA
Protein homeostasis,XPNPEP3
OXPHOS,COX6B1
OXPHOS subunits,MT-ND4L
OXPHOS assembly factors,SCO2
Complex I,NDUFS1
Complex IV,TIMM21
Metabolism,AIFM2
Carbohydrate metabolism,PDHA2
Lipid metabolism,DECR1
Amino acid metabolism,GOT2
Metals and cofactors,FDX2
Detoxification,TXNRD1
Small molecule transport,SLC25A3
SLC25A family,UCP2
Mitochondrial dynamics and surveillance,IMMT
Mitochondrial central dogma,MALSU1
mtRNA metabolism,RCC1L
Translation,MRPL2
Mitochondrial ribosome,MRPL57
"Protein import, sorting and homeostasis",PMPCB
Protein homeostasis,YME1L1
OXPHOS,COX6B2
OXPHOS subunits,MT-ND5
OXPHOS assembly factors,SDHAF1
Complex I,NDUFS2
Complex IV,TMEM177
Metabolism,AIFM3
Carbohydrate metabolism,PDHB
Lipid metabolism,DHRS1
Amino acid metabolism,GPT2
Metals and cofactors,FDXR
Detoxification,TXNRD2
Small molecule transport,SLC25A30
SLC25A family,UCP3
Mitochondrial dynamics and surveillance,MARCHF5
Mitochondrial central dogma,MARS2
mtRNA metabolism,REXO2
Translation,MRPL20
Mitochondrial ribosome,MRPL58
"Protein import, sorting and homeostasis",PRSS35
OXPHOS,COX6C
OXPHOS subunits,MT-ND6
OXPHOS assembly factors,SDHAF2
Complex I,NDUFS3
Metabolism,AK2
Carbohydrate metabolism,PDHX
Lipid metabolism,ECH1
Amino acid metabolism,GRHPR
Metals and cofactors,FECH
Small molecule transport,SLC25A31
Mitochondrial dynamics and surveillance,MCL1
Mitochondrial central dogma,METAP1D
mtRNA metabolism,RMND1
Translation,MRPL21
Mitochondrial ribosome,MRPL9
"Protein import, sorting and homeostasis",ROMO1
OXPHOS,COX7A1
OXPHOS subunits,NDUFA1
OXPHOS assembly factors,SDHAF3
Complex I,NDUFS4
Metabolism,AK3
Carbohydrate metabolism,PDK1
Lipid metabolism,ECHDC1
Amino acid metabolism,HADH
Metals and cofactors,FTH1
Small molecule transport,SLC25A32
Mitochondrial dynamics and surveillance,MFF
Mitochondrial central dogma,METTL15
mtRNA metabolism,RNASEH1
Translation,MRPL22
Mitochondrial ribosome,MRPS10
"Protein import, sorting and homeostasis",SAMM50
OXPHOS,COX7A2
OXPHOS subunits,NDUFA10
OXPHOS assembly factors,SDHAF4
Complex I,NDUFS5
Metabolism,AK4
Carbohydrate metabolism,PDK2
Lipid metabolism,ECHS1
Amino acid metabolism,HADHA
Metals and cofactors,FTMT
Small molecule transport,SLC25A33
Mitochondrial dynamics and surveillance,MFN1
Mitochondrial central dogma,METTL17
mtRNA metabolism,RPUSD3
Translation,MRPL23
Mitochondrial ribosome,MRPS11
"Protein import, sorting and homeostasis",SPG7
OXPHOS,COX7A2L
OXPHOS subunits,NDUFA11
OXPHOS assembly factors,SMIM20
Complex I,NDUFS6
Metabolism,AKR1B10
Carbohydrate metabolism,PDK3
Lipid metabolism,ECI1
Amino acid metabolism,HADHB
Metals and cofactors,FXN
Small molecule transport,SLC25A34
Mitochondrial dynamics and surveillance,MFN2
Mitochondrial central dogma,METTL4
mtRNA metabolism,RPUSD4
Translation,MRPL24
Mitochondrial ribosome,MRPS12
"Protein import, sorting and homeostasis",STOML2
OXPHOS,COX7B
OXPHOS subunits,NDUFA12
OXPHOS assembly factors,SURF1
Complex I,NDUFS7
Metabolism,AKR7A2
Carbohydrate metabolism,PDK4
Lipid metabolism,ECI2
Amino acid metabolism,HIBADH
Metals and cofactors,GLRX2
Small molecule transport,SLC25A35
Mitochondrial dynamics and surveillance,MGARP
Mitochondrial central dogma,METTL5
mtRNA metabolism,SLIRP
Translation,MRPL27
Mitochondrial ribosome,MRPS14
"Protein import, sorting and homeostasis",TIMM10
OXPHOS,COX7B2
OXPHOS subunits,NDUFA13
OXPHOS assembly factors,TACO1
Complex I,NDUFS8
Metabolism,ALAS1
Carbohydrate metabolism,PDP1
Lipid metabolism,EHHADH
Amino acid metabolism,HIBCH
Metals and cofactors,GLRX5
Small molecule transport,SLC25A36
Mitochondrial dynamics and surveillance,MICOS10
Mitochondrial central dogma,METTL8
mtRNA metabolism,SUPV3L1
Translation,MRPL28
